Execution Time (s),CDF
0.18325519561767578,0.01
0.1834719181060791,0.02
0.18351340293884277,0.03
0.18368315696716309,0.04
0.1839303970336914,0.05
0.18642663955688477,0.06
0.1907045841217041,0.07
0.19179940223693848,0.08
0.19312715530395508,0.09
0.19443345069885254,0.1
0.19509410858154297,0.11
0.19516468048095703,0.12
0.19558453559875488,0.13
0.19959425926208496,0.14
0.20011067390441895,0.15
0.20046663284301758,0.16
0.20436930656433105,0.17
0.20502805709838867,0.18
0.20528244972229004,0.19
0.20544767379760742,0.2
0.20574641227722168,0.21
0.21109223365783691,0.22
0.21332311630249023,0.23
0.21359038352966309,0.24
0.21467113494873047,0.25
0.21643519401550293,0.26
0.2165822982788086,0.27
0.21725988388061523,0.28
0.22081971168518066,0.29
0.22118282318115234,0.3
0.23386740684509277,0.31
0.24155759811401367,0.32
0.24174118041992188,0.33
0.24214649200439453,0.34
0.24298810958862305,0.35
0.24780583381652832,0.36
0.24958014488220215,0.37
0.2653501033782959,0.38
0.2655308246612549,0.39
0.27303194999694824,0.4
0.2747914791107178,0.41
0.280092716217041,0.42
0.28583621978759766,0.43
0.286684513092041,0.44
0.2873823642730713,0.45
0.2910959720611572,0.46
0.29407739639282227,0.47
0.29549455642700195,0.48
0.2971663475036621,0.49
0.3069446086883545,0.5
0.3168141841888428,0.51
0.3317453861236572,0.52
0.33507657051086426,0.53
0.3365621566772461,0.54
0.3368372917175293,0.55
0.33894848823547363,0.56
0.3396117687225342,0.57
0.3482990264892578,0.58
0.35663557052612305,0.59
0.35960936546325684,0.6
0.36308813095092773,0.61
0.3631713390350342,0.62
0.3740248680114746,0.63
0.37699270248413086,0.64
0.377896785736084,0.65
0.3860909938812256,0.66
0.43823742866516113,0.67
0.43966245651245117,0.68
0.44811296463012695,0.69
0.45252299308776855,0.7
0.4546339511871338,0.71
0.46927881240844727,0.72
0.5041460990905762,0.73
0.5069458484649658,0.74
0.5134837627410889,0.75
0.5568087100982666,0.76
0.5716302394866943,0.77
0.5854780673980713,0.78
0.5883586406707764,0.79
0.5924146175384521,0.8
0.5995283126831055,0.81
0.6162874698638916,0.82
0.6194164752960205,0.83
0.6532149314880371,0.84
0.6960890293121338,0.85
0.6961369514465332,0.86
0.7111186981201172,0.87
2.185971736907959,0.88
2.2060062885284424,0.89
2.208733320236206,0.9
2.2119016647338867,0.91
2.2133190631866455,0.92
2.2414655685424805,0.93
2.42002534866333,0.94
2.4463179111480713,0.95
2.4692468643188477,0.96
2.7004477977752686,0.97
2.7245981693267822,0.98
2.728942632675171,0.99
20.653370141983032,1.0
