Execution Time (s),CDF
0.18103718757629395,0.002
0.18228912353515625,0.004
0.1823711395263672,0.006
0.1834855079650879,0.008
0.18398118019104004,0.01
0.18435239791870117,0.012
0.1845855712890625,0.014
0.18639159202575684,0.016
0.18697690963745117,0.018
0.1871786117553711,0.02
0.18790197372436523,0.022
0.1885213851928711,0.024
0.1889493465423584,0.026
0.1890244483947754,0.028
0.1891331672668457,0.03
0.18935370445251465,0.032
0.19001555442810059,0.034
0.19005966186523438,0.036
0.19032835960388184,0.038
0.1914527416229248,0.04
0.1916666030883789,0.042
0.1919236183166504,0.044
0.19193124771118164,0.046
0.19220614433288574,0.048
0.1924726963043213,0.05
0.19267964363098145,0.052
0.19275259971618652,0.054
0.1928262710571289,0.056
0.19309377670288086,0.058
0.19315576553344727,0.06
0.19324040412902832,0.062
0.19370412826538086,0.064
0.19379115104675293,0.066
0.19379878044128418,0.068
0.19428706169128418,0.07
0.19431352615356445,0.072
0.19458770751953125,0.074
0.1947319507598877,0.076
0.19473528861999512,0.078
0.19484210014343262,0.08
0.1949765682220459,0.082
0.19512009620666504,0.084
0.19514060020446777,0.086
0.19521880149841309,0.088
0.19527840614318848,0.09
0.19585800170898438,0.092
0.19593214988708496,0.094
0.19596028327941895,0.096
0.19603514671325684,0.098
0.1963040828704834,0.1
0.19635772705078125,0.102
0.1968061923980713,0.104
0.19701099395751953,0.106
0.1970381736755371,0.108
0.19710564613342285,0.11
0.19725775718688965,0.112
0.1973884105682373,0.114
0.19771122932434082,0.116
0.19846653938293457,0.118
0.19893717765808105,0.12
0.19895529747009277,0.122
0.1990361213684082,0.124
0.19928264617919922,0.126
0.19948172569274902,0.128
0.19952821731567383,0.13
0.19953155517578125,0.132
0.19986724853515625,0.134
0.19994211196899414,0.136
0.20000767707824707,0.138
0.20035624504089355,0.14
0.20070862770080566,0.142
0.20073843002319336,0.144
0.2007889747619629,0.146
0.2009589672088623,0.148
0.20110464096069336,0.15
0.20110726356506348,0.152
0.20120930671691895,0.154
0.20133066177368164,0.156
0.20142364501953125,0.158
0.20143938064575195,0.16
0.2021191120147705,0.162
0.20212912559509277,0.164
0.20241975784301758,0.166
0.20247292518615723,0.168
0.2026386260986328,0.17
0.20288920402526855,0.172
0.2029569149017334,0.174
0.2030324935913086,0.176
0.20311212539672852,0.178
0.20312762260437012,0.18
0.20314264297485352,0.182
0.20331835746765137,0.184
0.20379090309143066,0.186
0.20462250709533691,0.188
0.2046654224395752,0.19
0.20498442649841309,0.192
0.20532631874084473,0.194
0.20543885231018066,0.196
0.20576739311218262,0.198
0.2057936191558838,0.2
0.20582866668701172,0.202
0.20604991912841797,0.204
0.2064049243927002,0.206
0.2064070701599121,0.208
0.20641064643859863,0.21
0.20650625228881836,0.212
0.2072150707244873,0.214
