Execution Time (s),CDF
0.18413877487182617,0.02
0.1880202293395996,0.04
0.18974685668945312,0.06
0.18988347053527832,0.08
0.19347858428955078,0.1
0.19632172584533691,0.12
0.20034575462341309,0.14
0.2005610466003418,0.16
0.204362154006958,0.18
0.20546531677246094,0.2
0.21109390258789062,0.22
0.21203112602233887,0.24
0.2155749797821045,0.26
0.21908903121948242,0.28
0.22098231315612793,0.3
0.23326325416564941,0.32
0.23443317413330078,0.34
0.25153493881225586,0.36
0.2537384033203125,0.38
0.2694246768951416,0.4
0.27388525009155273,0.42
0.27590441703796387,0.44
0.28142786026000977,0.46
0.2854650020599365,0.48
0.28600573539733887,0.5
0.29070425033569336,0.52
0.3089320659637451,0.54
0.327639102935791,0.56
0.3348813056945801,0.58
0.3561739921569824,0.6
0.3610813617706299,0.62
0.3750796318054199,0.64
0.3902461528778076,0.66
0.4311814308166504,0.68
0.4385807514190674,0.7
0.4440317153930664,0.72
0.5603253841400146,0.74
0.6031343936920166,0.76
0.6067979335784912,0.78
0.6593935489654541,0.8
0.6602041721343994,0.82
0.6827232837677002,0.84
0.9965927600860596,0.86
2.230165958404541,0.88
2.2388453483581543,0.9
2.284416675567627,0.92
2.4415087699890137,0.94
2.452565908432007,0.96
2.6557953357696533,0.98
21.76720142364502,1.0
