ExecutionTime,CumulativeProbability
5.382,0.0033333333333333335
5.39,0.006666666666666667
5.413,0.01
5.431,0.013333333333333334
5.539,0.016666666666666666
5.548,0.02
5.551,0.023333333333333334
5.552,0.02666666666666667
5.574,0.03
5.615,0.03333333333333333
5.622,0.03666666666666667
5.63,0.04
5.667,0.043333333333333335
5.681,0.04666666666666667
5.689,0.05
5.713,0.05333333333333334
5.743,0.056666666666666664
5.759,0.06
5.764,0.06333333333333334
5.809,0.06666666666666667
5.826,0.07
5.84,0.07333333333333333
5.849,0.07666666666666666
5.853,0.08
5.859,0.08333333333333333
5.861,0.08666666666666667
5.865,0.09
5.865,0.09333333333333334
5.865,0.09666666666666666
5.866,0.1
5.87,0.10333333333333333
5.87,0.10666666666666667
5.878,0.11
5.878,0.11333333333333333
5.887,0.11666666666666667
5.892,0.12
5.895,0.12333333333333334
5.896,0.12666666666666668
5.9,0.13
5.901,0.13333333333333333
5.902,0.13666666666666666
5.904,0.14
5.904,0.14333333333333334
5.907,0.14666666666666667
5.907,0.15
5.91,0.15333333333333332
5.912,0.15666666666666668
5.914,0.16
5.917,0.16333333333333333
5.918,0.16666666666666666
5.919,0.17
5.92,0.17333333333333334
5.929,0.17666666666666667
5.931,0.18
5.933,0.18333333333333332
5.935,0.18666666666666668
5.937,0.19
5.942,0.19333333333333333
5.942,0.19666666666666666
5.944,0.2
5.947,0.20333333333333334
5.948,0.20666666666666667
5.949,0.21
5.95,0.21333333333333335
5.95,0.21666666666666667
5.954,0.22
5.955,0.22333333333333333
5.956,0.22666666666666666
5.958,0.23
5.961,0.23333333333333334
5.963,0.23666666666666666
5.968,0.24
5.972,0.24333333333333335
5.981,0.24666666666666667
5.981,0.25
5.989,0.25333333333333335
5.993,0.25666666666666665
6.004,0.26
6.011,0.2633333333333333
6.017,0.26666666666666666
6.022,0.27
6.031,0.2733333333333333
6.039,0.27666666666666667
6.051,0.28
6.052,0.2833333333333333
6.062,0.2866666666666667
6.062,0.29
6.062,0.29333333333333333
6.074,0.2966666666666667
6.079,0.3
6.079,0.30333333333333334
6.081,0.30666666666666664
6.082,0.31
6.083,0.31333333333333335
6.087,0.31666666666666665
6.091,0.32
6.095,0.3233333333333333
6.097,0.32666666666666666
6.099,0.33
6.103,0.3333333333333333
6.107,0.33666666666666667
6.118,0.34
6.119,0.3433333333333333
6.127,0.3466666666666667
6.128,0.35
6.13,0.35333333333333333
6.131,0.3566666666666667
6.133,0.36
6.137,0.36333333333333334
6.138,0.36666666666666664
6.146,0.37
