ExecutionTime,CumulativeProbability
2.159,0.009345794392523364
2.212,0.018691588785046728
2.255,0.028037383177570093
2.274,0.037383177570093455
2.296,0.04672897196261682
2.296,0.056074766355140186
2.325,0.06542056074766354
2.325,0.07476635514018691
2.331,0.08411214953271028
2.335,0.09345794392523364
2.335,0.102803738317757
2.337,0.11214953271028037
2.338,0.12149532710280374
2.361,0.1308411214953271
2.369,0.14018691588785046
2.383,0.14953271028037382
2.402,0.1588785046728972
2.404,0.16822429906542055
2.406,0.17757009345794392
2.41,0.18691588785046728
2.418,0.19626168224299065
2.43,0.205607476635514
2.448,0.21495327102803738
2.454,0.22429906542056074
2.461,0.2336448598130841
2.468,0.24299065420560748
2.471,0.2523364485981308
2.479,0.2616822429906542
2.479,0.27102803738317754
2.487,0.2803738317757009
2.488,0.2897196261682243
2.506,0.29906542056074764
2.515,0.308411214953271
2.52,0.3177570093457944
2.525,0.32710280373831774
2.539,0.3364485981308411
2.54,0.34579439252336447
2.54,0.35514018691588783
2.546,0.3644859813084112
2.55,0.37383177570093457
2.551,0.38317757009345793
2.555,0.3925233644859813
2.557,0.40186915887850466
2.562,0.411214953271028
2.565,0.4205607476635514
2.575,0.42990654205607476
2.576,0.4392523364485981
2.596,0.4485981308411215
2.598,0.45794392523364486
2.608,0.4672897196261682
2.626,0.4766355140186916
2.626,0.48598130841121495
2.629,0.4953271028037383
2.633,0.5046728971962616
2.638,0.514018691588785
2.652,0.5233644859813084
2.656,0.5327102803738317
2.694,0.5420560747663551
2.703,0.5514018691588785
2.706,0.5607476635514018
2.708,0.5700934579439252
2.709,0.5794392523364486
2.709,0.5887850467289719
2.712,0.5981308411214953
2.714,0.6074766355140186
2.733,0.616822429906542
2.743,0.6261682242990654
2.749,0.6355140186915887
2.755,0.6448598130841121
2.794,0.6542056074766355
2.864,0.6635514018691588
2.866,0.6728971962616822
2.892,0.6822429906542056
2.902,0.6915887850467289
2.904,0.7009345794392523
2.91,0.7102803738317757
2.918,0.719626168224299
2.936,0.7289719626168224
2.936,0.7383177570093458
2.961,0.7476635514018691
2.969,0.7570093457943925
3.042,0.7663551401869159
3.081,0.7757009345794392
3.169,0.7850467289719626
3.188,0.794392523364486
3.19,0.8037383177570093
3.204,0.8130841121495327
3.224,0.822429906542056
3.232,0.8317757009345794
3.265,0.8411214953271028
3.843,0.8504672897196262
4.171,0.8598130841121495
6.652,0.8691588785046729
6.822,0.8785046728971962
7.152,0.8878504672897196
7.384,0.897196261682243
7.663,0.9065420560747663
7.667,0.9158878504672897
7.753,0.9252336448598131
7.797,0.9345794392523364
8.288,0.9439252336448598
8.734,0.9532710280373832
8.967,0.9626168224299065
9.071,0.9719626168224299
9.322,0.9813084112149533
10.654,0.9906542056074766
11.115,1.0
