ExecutionTime,CDF
1.0,0.012987012987012988
1.058,0.025974025974025976
1.068,0.03896103896103896
1.242,0.05194805194805195
1.287,0.06493506493506493
1.382,0.07792207792207792
1.555,0.09090909090909091
1.747,0.1038961038961039
1.761,0.11688311688311688
1.879,0.12987012987012986
1.922,0.14285714285714285
2.244,0.15584415584415584
2.378,0.16883116883116883
2.437,0.18181818181818182
2.471,0.19480519480519481
2.484,0.2077922077922078
2.61,0.22077922077922077
2.948,0.23376623376623376
2.975,0.24675324675324675
3.082,0.2597402597402597
3.09,0.2727272727272727
3.211,0.2857142857142857
3.278,0.2987012987012987
3.344,0.3116883116883117
3.401,0.3246753246753247
3.439,0.33766233766233766
3.46,0.35064935064935066
3.72,0.36363636363636365
3.796,0.37662337662337664
4.227,0.38961038961038963
4.434,0.4025974025974026
4.517,0.4155844155844156
4.724,0.42857142857142855
4.802,0.44155844155844154
6.398,0.45454545454545453
6.443,0.4675324675324675
6.506,0.4805194805194805
6.54,0.4935064935064935
7.605,0.5064935064935064
7.69,0.5194805194805194
8.294,0.5324675324675324
8.304,0.5454545454545454
8.651,0.5584415584415584
9.43,0.5714285714285714
9.848,0.5844155844155844
9.854,0.5974025974025974
9.887,0.6103896103896104
10.148,0.6233766233766234
11.197,0.6363636363636364
11.222,0.6493506493506493
11.351,0.6623376623376623
11.895,0.6753246753246753
11.906,0.6883116883116883
11.95,0.7012987012987013
12.699,0.7142857142857143
13.179,0.7272727272727273
13.49,0.7402597402597403
14.063,0.7532467532467533
14.177,0.7662337662337663
14.272,0.7792207792207793
14.869,0.7922077922077922
17.48,0.8051948051948052
17.827,0.8181818181818182
18.925,0.8311688311688312
19.736,0.8441558441558441
20.308,0.8571428571428571
20.93,0.8701298701298701
21.236,0.8831168831168831
21.434,0.8961038961038961
22.143,0.9090909090909091
22.773,0.922077922077922
22.789,0.935064935064935
23.365,0.948051948051948
24.287,0.961038961038961
24.303,0.974025974025974
24.569,0.987012987012987
27.632,1.0
